DESTINATION_AIRPORT,VALUES
ATL,14
MCO,165
DAL,64
STL,256
ORD,196
SLC,249
DFW,69
MSP,185
FLL,94
SEA,240
LAX,148
CMH,51
PIT,210
TPA,265
CLT,50
CLE,48
EWR,86
PDX,203
AUS,16
MDW,167
ORF,197
DEN,68
OAK,191
PVD,216
LAS,146
MKE,175
JNU,142
JFK,139
MIA,174
LGA,154
HOU,119
RST,228
TUS,269
PHL,205
BWI,38
SJU,248
BOS,30
SFO,241
BNA,28
IAH,126
IND,131
MHT,173
IAD,124
SNA,252
BFL,22
MCI,164
JAN,137
DCA,67
OKC,193
BHM,23
PHX,206
ROC,226
GRR,109
ALB,10
BTV,35
ACY,6
MEM,168
DTW,76
MFR,170
MFE,169
SYR,262
XNA,278
BOI,29
SJC,246
CVG,61
SAT,232
TUL,268
GSO,110
ABQ,2
GEG,101
LIT,157
AMA,11
SAN,231
EYW,87
CAK,41
PNS,212
HPN,120
OMA,194
ABI,1
SMF,250
RDU,221
SDF,239
MOB,179
LGB,155
TTN,267
HNL,118
FSD,96
OTH,199
MSY,186
PBI,202
OGG,192
RSW,229
GPT,105
COS,55
ATW,15
JAX,138
ELP,82
BIL,24
BQN,31
PSP,215
BRO,32
KTN,144
DAY,65
BIS,25
ANC,12
PWM,217
GJT,103
MLI,177
MYR,189
ACT,4
BTR,34
BUF,36
TRI,266
ONT,195
CRP,58
RIC,223
ELM,81
FLG,93
MSN,183
STT,257
RHI,222
PHF,204
BUR,37
LEX,152
CHS,46
EUG,83
SAV,233
LFT,153
YUM,279
SPS,254
RNO,224
MDT,166
FNT,95
GNV,104
DVL,77
CID,47
GRK,108
LSE,160
AEX,8
MHK,172
MAF,162
CMX,53
PSC,213
HSV,122
FAY,91
BDL,20
FAR,89
RDM,220
OAJ,190
FSM,97
DSM,75
FWA,98
MSO,184
LCH,151
AZO,19
SCC,237
SBA,234
MLU,178
BET,21
GTR,114
SCE,238
AGS,9
SRQ,255
ACK,3
ECP,78
ROA,225
CLL,49
CMI,52
VPS,275
SJT,247
CAE,40
AVP,18
RDD,219
LIH,156
MGM,171
CPR,57
TLH,263
TOL,264
FAI,88
SAF,230
SHV,244
ABE,0
PIA,207
GCC,99
GRB,106
BRW,33
GTF,113
SBP,236
DLH,73
SBN,235
PSG,214
TVC,270
AVL,17
PIH,209
KOA,143
HRL,121
SGF,242
SGU,243
EVV,84
SMX,251
LRD,159
ITO,135
GUM,115
BMI,27
LBB,149
ICT,127
SIT,245
ISN,133
WYS,277
JMS,141
CHO,45
TYS,274
FAT,90
HLN,117
MQT,181
GSP,111
CRW,59
TXK,272
TYR,273
LBE,150
RAP,218
DBQ,66
MBS,163
LAN,145
SUX,260
DAB,63
MRY,182
IAG,125
MLB,176
MOT,180
PBG,201
FCA,92
INL,132
MVY,188
PIB,208
ASE,13
LAW,147
GRI,107
ILM,129
STX,258
LNK,158
HYS,123
GST,112
CHA,44
EGE,79
GGG,102
CSG,60
ISP,134
ROW,227
SWF,261
COD,54
GCK,100
MTJ,187
EWN,85
CWA,62
COU,56
BZN,39
SPI,253
BJI,26
PAH,200
ORH,198
DIK,71
EKO,80
JLN,140
IDA,128
DRO,74
CDV,43
JAC,136
CDC,42
TWF,271
IMT,130
SUN,259
HIB,116
DHN,70
DLG,72
LWS,161
ACV,5
WRG,276
ADQ,7
PLN,211
