ORIGIN_AIRPORT,VALUES
LGA,153
SAT,231
MSP,184
LAX,148
MFR,170
SEA,239
ISN,134
DAL,71
PHX,206
AVL,21
OAK,189
LEX,151
MCO,164
DEN,75
ATL,18
HNL,121
RDU,220
MDW,166
ONT,194
STL,253
SNA,250
SAN,230
IAD,127
IAH,128
ORD,195
BWI,46
MCI,163
IND,133
YAK,276
MIA,174
PWM,216
PHL,205
LAS,146
PIT,209
SDF,238
BOS,35
JFK,140
DCA,74
PDX,203
CVG,68
DFW,76
TPA,261
RSW,228
BNA,33
FLL,99
SFO,240
HRL,125
OMA,192
AUS,20
RIC,222
PBG,201
JAX,139
CLT,59
ECP,84
SJU,247
COS,63
EWR,91
GRB,111
GEG,106
TUS,265
MSN,182
MSY,185
ANC,15
CLE,57
HOU,123
SLC,248
AEX,10
XNA,275
ABI,1
STT,254
SMF,249
AMA,14
PSG,213
TUL,264
SHV,243
MAF,161
BRO,39
KOA,143
BIS,30
MYR,188
BDL,24
ALB,12
OGG,190
SRQ,252
BUR,45
VPS,272
WYS,274
GSP,116
MKE,175
TYS,270
BHM,28
LIH,155
GSO,115
LCH,150
DTW,82
SUN,255
EUG,89
OME,193
GRR,114
SJC,245
CLL,58
DRO,80
ROC,225
BJI,31
DAB,70
TOL,260
MBS,162
PBI,202
BUF,44
PNS,211
MLI,177
OKC,191
CMH,60
ICT,129
TTN,263
CAK,49
MFE,169
FAR,94
BRD,38
IMT,132
CID,55
JAN,138
RNO,223
MEM,168
HPN,124
ELP,88
BOI,34
COU,64
ABQ,2
JMS,141
CIU,56
RDD,218
SAV,232
RDM,219
GRK,113
BMI,32
FSD,101
LBB,149
BTV,43
SGF,241
EYW,92
FSM,102
DBQ,73
ISP,135
RAP,217
ELM,87
LIT,156
ILM,131
EVV,90
SIT,244
FAI,93
FNT,100
IDA,130
TLH,259
LFT,152
DSM,81
CHS,54
PVD,215
BGR,27
GPT,110
ATW,19
SBA,233
LAN,145
BTR,42
AZO,23
ORH,197
APN,16
SJT,246
GCC,104
FAT,95
DAY,72
MDT,165
PSP,214
MGM,171
ACY,8
EAU,83
FCA,97
BTM,41
CWA,69
MHT,173
SCC,236
HSV,126
YUM,277
JNU,142
WRG,273
SAF,229
ALO,13
CAE,48
LGB,154
LSE,159
PIA,207
ORF,196
SYR,258
ITO,136
MHK,172
MLB,176
JAC,137
LAW,147
AVP,22
BZN,47
SCE,237
FAY,96
FWA,103
SBP,235
GNV,109
BET,25
BIL,29
GTF,118
MOB,179
ABE,0
MTJ,186
SBN,234
CPR,65
PHF,204
MSO,183
CHA,52
ROW,226
HOB,122
KTN,144
GST,117
ROA,224
CMI,61
TVC,266
HLN,120
SWF,257
GRI,112
MRY,181
AGS,11
LRD,158
ABY,4
BFL,26
BQN,37
CRP,66
MEI,167
ACV,7
CMX,62
ACK,5
EKO,86
MLU,178
OTH,198
CRW,67
SGU,242
MOT,180
CDC,50
LWS,160
SPI,251
SUX,256
PAH,200
GJT,108
ASE,17
GFK,107
FLG,98
EGE,85
OTZ,199
DLG,78
CDV,51
DLH,79
BRW,40
CHO,53
ACT,6
VLD,271
PIH,208
BPT,36
TRI,262
RHI,221
TXK,268
LNK,157
GUC,119
DIK,77
PLN,210
TWF,267
ADQ,9
TYR,269
RST,227
ABR,3
GCK,105
MVY,187
PSC,212
