TAIL_NUMBER,VALUES
N821DN,2848
N950DL,3459
N567WN,1750
N799SW,2761
N604NK,1918
N432SW,1229
N3HBAA,1069
N426SW,1212
N242WN,463
N806SK,2787
N986SW,3603
N679CA,2256
N622MQ,2000
N210WN,385
N406UA,1163
N829DN,2881
N564AS,1735
N560UW,1724
N753EV,2507
N7724A,2621
N552AS,1692
N662DN,2178
N553AS,1696
N202FR,361
N3MCAA,1140
N278WN,525
N465UA,1328
N485UA,1401
N39423,927
N649SW,2127
N433LV,1233
N38451,892
N474WN,1362
N8306H,2886
N804UA,2778
N425LV,1209
N7742B,2646
N795AS,2748
N3DLAA,1004
N824DN,2864
N267JB,502
N845UA,2966
N948DL,3448
N521VA,1569
N8622A,3028
N636VA,2076
N534NK,1633
N8658A,3068
N347NB,692
N813MQ,2814
N382SW,886
N463SW,1320
N311US,585
N3LJAA,1127
N950UW,3462
N652SW,2139
N37700,867
N510NK,1527
N775JB,2664
N958UW,3512
N37427,819
N8923A,3115
N617NK,1980
N34455,683
N357SW,728
N948DN,3449
N7811F,2680
N379SW,878
N675DL,2240
N69818,2323
N344NB,686
N507CA,1513
N636WN,2077
N601NK,1902
N640SW,2093
N12175,78
N830AS,2888
N107SY,27
N563JB,1731
N367SW,769
N77867,2669
N629NK,2041
N7740A,2644
N415WN,1185
N582NW,1795
N7814B,2683
N21537,400
N634SW,2065
N514MQ,1537
N756SA,2527
N170PQ,280
N5EGAA,1879
N925UY,3308
N3HTAA,1080
N236JB,447
N426AA,1211
N393DA,923
N599JB,1863
N494WN,1436
N913DL,3215
N923DN,3289
N206WN,376
N005AA,1
N929DL,3334
N3761R,855
N449WN,1280
N504NK,1503
N385SW,901
N201UU,359
N38268,885
N16703,267
N68880,2293
N11565,59
N459AS,1307
N312US,586
N8326F,2912
N834DN,2924
N984CA,3597
N21197,389
N868CA,3087
N817SK,2833
N725UW,2428
N193JB,342
N650MQ,2129
N3BKAA,976
N796SK,2755
N14237,193
N412WN,1180
N817AW,2830
N704SW,2350
N554UW,1703
N213WN,396
N384DA,898
N919FR,3260
N972DL,3570
N641SW,2099
N465WN,1329
N466AA,1330
N939AT,3397
N24202,460
N249JB,473
N669AW,2206
N4WNAA,1456
N3748Y,832
N7719A,2614
N206FR,374
N11194,46
N3JKAA,1092
N218FR,409
N33182,638
N659DL,2167
N7748A,2653
N480WN,1383
N813SK,2815
N853AS,2987
N353NB,712
N665MQ,2190
N17115,284
N453AS,1287
N369NW,776
N24128,458
N122US,89
N225WN,424
N665WN,2191
N760EV,2543
N953FR,3479
N12921,112
N582UW,1796
N114UW,51
N959WN,3519
N760JB,2544
N170US,281
N595NW,1853
N232PQ,442
N12218,85
N928DL,3326
N76526,2572
N625SW,2019
N750SK,2495
N923DL,3288
N794SW,2746
N918MQ,3251
N17245,297
N12142,70
N571UW,1768
N565JB,1740
N528SW,1609
N505JB,1505
N580UW,1788
N498WN,1447
N534AS,1630
N8646B,3054
N945JB,3432
N12145,71
N358SW,732
N648JB,2121
N932DN,3352
N751UW,2501
N435SW,1239
N33284,646
N958DN,3510
N635MQ,2070
N948SW,3451
N13553,135
N974DL,3574
N752SK,2504
N777QC,2668
N12163,74
N928WN,3332
N809JB,2799
N16919,274
N589UA,1832
N7701B,2594
N954FR,3486
N479HA,1378
N468WN,1341
N570WN,1764
N946SW,3439
N606NK,1928
N287WN,540
N366NB,765
N937WN,3390
N3FEAA,1037
N658DL,2161
N917UY,3245
N252WN,478
N714US,2395
N712EV,2386
N812DN,2809
N945SW,3433
N503NK,1500
N782SA,2692
N291WN,546
N15751,238
N913WN,3221
N8643A,3051
N3ERAA,1027
N703UW,2349
N743SW,2473
N8659D,3069
N37419,816
N552JB,1693
N4XPAA,1469
N299WN,561
N470WN,1347
N461WN,1316
N750AT,2492
N208WN,380
N14143,172
N460WN,1313
N807JB,2791
N75851,2532
N363NW,752
N391HA,917
N473UA,1357
N36476,758
N914DN,3224
N14203,186
N228FR,429
N740UW,2465
N550NW,1684
N153PQ,227
N953WN,3482
N8648A,3056
N216AG,403
N228WN,432
N783SK,2696
N495UA,1438
N919DE,3256
N920FR,3269
N924AT,3295
N489AA,1415
N956UW,3500
N3757D,846
N493WN,1432
N14993,222
N3MNAA,1148
N12172,77
N161PQ,253
N989DL,3610
N3ACAA,953
N624JB,2010
N8933B,3118
N906DL,3168
N975AT,3575
N938DL,3392
N468CA,1339
N258JB,484
N874AS,3094
N319US,607
N515NK,1540
N456UA,1299
N487AA,1406
N263WN,494
N608MQ,1939
N8649A,3057
N656SW,2154
N493HA,1431
N68801,2281
N536JB,1641
N944WN,3429
N309DE,579
N953DL,3477
N976SW,3579
N742SK,2470
N708UW,2371
N530AS,1616
N3EHAA,1020
N328NB,629
N428WN,1219
N265JB,498
N760SK,2545
N603JB,1910
N849UA,2976
N680AE,2260
N28529,538
N68836,2290
N7708E,2601
N786AS,2712
N8965E,3123
N5EXAA,1889
N613QX,1964
N618MQ,1986
N631MQ,2049
N193UW,343
N893AT,3119
N3HSAA,1079
N298WN,558
N448UA,1276
N202AA,360
N8329B,2915
N192UW,341
N417SW,1189
N934AT,3364
N5PBMQ,1897
N452WN,1286
N942MQ,3416
N923FR,3290
N767AS,2582
N613NK,1963
N332NB,651
N238JB,452
N8312C,2895
N602AW,1905
N760US,2547
N227WN,428
N529AS,1611
N834AW,2923
N3FJAA,1040
N862AA,3036
N943DN,3419
N764SW,2562
N8623F,3029
N918US,3253
N3LPAA,1130
N3758Y,847
N717SA,2405
N567UW,1749
N855AA,2993
N636JB,2074
N246LV,467
N7714B,2609
N12225,87
N615AS,1971
N459WN,1310
N8663A,3074
N571AA,1766
N389SW,911
N907MQ,3178
N24715,468
N17133,286
N919DL,3257
N178JB,306
N666UA,2193
N845MQ,2965
N791SW,2731
N860AA,3015
N639MQ,2086
N937JB,3388
N786SK,2713
N611AS,1949
N466SW,1331
N593JB,1845
N776SK,2666
N905SW,3163
N419AS,1194
N820MQ,2844
N18557,325
N416SW,1186
N5FRAA,1895
N479WN,1380
N258WN,485
N575AA,1773
N966DL,3548
N3MHAA,1145
N662MQ,2180
N827MQ,2876
N641VA,2100
N274WN,518
N405UA,1161
N73276,2445
N608SW,1943
N323JB,615
N674MQ,2236
N3EMAA,1024
N513MQ,1534
N350NA,700
N959SW,3517
N653AW,2140
N505MQ,1506
N957UW,3506
N36247,745
N953UW,3481
N3KAAA,1102
N12567,100
N937DL,3385
N913DE,3214
N766SW,2580
N3731T,800
N401WN,1152
N272WN,512
N654DL,2145
N899AT,3130
N305AS,570
N673AE,2233
N810DN,2803
N880AS,3104
N797MX,2758
N840AS,2949
N324NB,620
N868AS,3086
N13550,134
N435AS,1238
N444WN,1266
N458WN,1306
N938AT,3391
N994DL,3619
N970DL,3563
N421UA,1200
N802UA,2770
N37252,785
N129DL,116
N701BR,2340
N7741C,2645
N16709,268
N854UA,2991
N826AW,2872
N332NW,652
N976DL,3578
N926SW,3315
N822MQ,2855
N13113,118
N14188,183
N718SW,2410
N907WN,3180
N963UW,3535
N658SW,2164
N537JB,1642
N66056,2172
N11189,42
N993DL,3617
N926FR,3314
N79521,2747
N935AT,3371
N923MQ,3291
N748SK,2488
N12136,69
N519NK,1555
N386SW,903
N4XKAA,1466
N6709,2218
N362SW,749
N418UA,1193
N907DE,3175
N626AE,2021
N221WN,417
N37274,791
N821AS,2847
N6700,2209
N541AA,1652
N438SW,1248
N306DQ,572
N778SK,2672
N7723E,2620
N950WN,3463
N947SW,3445
N220FR,414
N437SW,1245
N902DA,3144
N535AS,1636
N483WN,1394
N968AT,3555
N65832,2159
N928MQ,3330
N124DE,91
N774SK,2655
N477WN,1372
N353SW,714
N583HA,1799
N33294,650
N318JB,602
N937DN,3386
N552UW,1695
N686DA,2276
N936DN,3380
N460SW,1311
N730EV,2437
N774SW,2656
N619SW,1992
N340LV,671
N889AS,3112
N163US,258
N957AT,3502
N785SW,2710
N601XJ,1904
N391CA,915
N534MQ,1632
N8637A,3044
N27477,516
N64844,2120
N548US,1677
N960AT,3520
N3GHAA,1056
N954UW,3488
N254WN,480
N29917,560
N228PQ,431
N684WN,2272
N27733,523
N565WN,1742
N901EV,3141
N852VA,2985
N328JB,628
N692MQ,2307
N955DL,3491
N955SW,3493
N14177,179
N11150,35
N484WN,1398
N494AA,1433
N8601C,3006
N587NK,1819
N105UW,26
N756SK,2528
N460UA,1312
N946DN,3437
N8316H,2899
N603AT,1909
N983AT,3594
N407WN,1167
N951DN,3465
N532US,1626
N133EV,129
N814UA,2820
N920DE,3265
N519UW,1557
