DESTINATION_AIRPORT,VALUES
PHX,203
LAX,146
SEA,235
EWR,87
MLU,178
BNA,32
ATL,18
DTW,77
CLE,54
DFW,72
MIA,173
BOS,34
FLL,95
HNL,115
HOU,117
GTF,111
ORD,196
JFK,136
SAT,228
PIB,205
SLC,244
DEN,71
SJU,243
HPN,118
CLT,56
MKE,174
SNA,246
BHM,28
BUF,43
BUR,44
SRQ,249
LAS,144
DLH,75
MCI,162
TUL,261
GEG,101
PDX,200
SFO,236
DHN,73
CID,52
MSP,185
MDW,165
SAN,227
HRL,119
MSY,186
BFL,26
OKC,193
LGB,153
BWI,45
CMH,57
MCO,163
LEX,150
OAK,191
IAH,123
RDU,217
OGG,192
LGA,152
ONT,195
SYR,255
STL,250
SGF,237
ORF,197
MEM,167
CAE,47
PIA,204
BIS,30
MAF,160
RNO,220
SJC,241
RSW,225
AMA,14
PHL,202
BTV,42
FWA,99
GPT,105
JNU,139
ABR,3
FSD,97
MSO,184
ABQ,2
LSE,158
PHF,201
PIT,207
ELP,82
DCA,70
MSN,183
LRD,157
ICT,124
RIC,219
SHV,239
FAT,91
DAL,67
MHT,172
ALB,13
BTM,40
XNA,270
CRP,63
GRR,108
ECP,79
IAD,121
CVG,65
JAX,135
ABE,0
FNT,96
TLH,256
GRB,106
SMF,245
TPA,258
HOB,116
PVD,212
PWM,213
PNS,209
SJT,242
DAY,68
ROA,221
AEX,10
BMI,31
BDL,24
SBA,230
VPS,268
LAR,143
CAK,48
ACV,7
SDF,234
IND,128
GSP,110
GFK,102
AUS,20
PBI,199
HSV,120
ROC,222
LIH,154
SBP,232
ILM,126
TYS,267
ATW,19
ANC,15
CRW,64
SAV,229
MFR,169
BRO,38
GCK,100
BTR,41
MLB,176
KOA,140
PSP,211
BOI,33
MYR,189
LIT,155
MLI,177
BRD,37
MDT,164
STX,252
FAR,90
RAP,214
MFE,168
DVL,78
TTN,260
TUS,262
MGM,170
LBE,148
EUG,85
GJT,103
OMA,194
MEI,166
ELM,81
AVP,22
GNV,104
COS,60
EYW,88
CHS,51
ASE,17
EVV,86
LAN,142
COU,61
STT,251
BZN,46
ACK,5
HIB,113
TVC,263
CLL,55
JLN,137
FSM,98
ADQ,9
FAI,89
DSM,76
JAN,134
ABY,4
KTN,141
AGS,11
GRK,107
CIU,53
MKG,175
SBN,231
CHA,49
TYR,266
SAF,226
MRY,182
ISP,131
ITO,132
MOB,179
MOT,180
DAB,66
BIL,29
MHK,171
LNK,156
LCH,149
CMI,58
ACY,8
PLN,208
GSO,109
OAJ,190
BQN,36
BET,25
LFT,151
EKO,80
APN,16
FAY,92
TXK,265
FLG,94
TOL,257
ACT,6
COD,59
SGU,238
TWF,264
WRG,269
JAC,133
BRW,39
SIT,240
RDM,216
ESC,84
ERI,83
SPI,247
IDA,125
MVY,188
IAG,122
TRI,259
AVL,21
SPS,248
ABI,1
JMS,138
MQT,181
FCA,93
SUX,253
HLN,114
LAW,145
ROW,223
LBB,147
BGR,27
ISN,130
PAH,198
CPR,62
SCE,233
MBS,161
YAK,271
DIK,74
GUC,112
PSC,210
RHI,218
BPT,35
IMT,127
RST,224
CHO,50
PIH,206
LWS,159
INL,129
SWF,254
AZO,23
RDD,215
DBQ,69
AKN,12
MTJ,187
