ORIGIN_AIRPORT,VALUES
BOS,36
ATL,19
DAY,72
DFW,76
LAS,151
MSP,189
TPA,268
SFO,244
MCO,169
ORD,201
IAH,133
BUF,45
LAX,153
DTW,82
SAT,235
OAK,195
AUS,21
STL,259
OKC,197
PVD,219
SLC,252
SEA,243
HNL,125
DCA,74
PHX,209
MDW,171
SBN,238
BWI,47
IND,138
DEN,75
LGA,159
CMH,59
MCI,168
IAD,132
FLL,101
HPN,128
MAF,166
PHL,208
PDX,207
HOU,127
RSW,232
ACK,5
CLE,56
MSY,190
BDL,25
PBI,206
KOA,148
JFK,145
DSM,81
SMF,253
RDU,224
ISP,140
OGG,196
DLH,79
ACY,8
EWN,92
OMA,198
ANC,16
BUR,46
EUG,90
RST,231
CVG,68
FAR,96
SNA,255
GEG,108
DHN,77
SBP,239
TUS,272
SYR,265
EKO,86
CLT,58
MIA,178
GCC,106
TYS,277
ALO,14
LRD,164
SAN,234
EWR,93
MEM,172
PIT,213
GRR,116
BTR,43
SJC,249
LBB,154
MKE,179
TUL,271
FWA,105
MGM,175
GCK,107
BIS,30
LGB,160
ELP,88
GUC,122
CAE,49
BNA,34
ASE,18
CHS,54
RNO,227
LEX,157
ONT,200
FAI,95
SJU,251
JAX,144
BHM,28
EVV,91
GSO,117
SRQ,258
FSD,103
DAB,70
MLB,181
MHT,177
CDV,51
VPS,278
SAV,236
DAL,71
BZN,48
RIC,226
GRK,115
PNS,214
CLL,57
SCC,240
JMS,146
WYS,280
MLU,183
LSE,165
COS,62
LIT,162
YUM,283
CID,55
ORF,202
MDT,170
STX,261
CHA,52
CWA,69
SDF,242
BOI,35
EYW,94
GRB,113
XNA,281
MOB,184
ALB,13
ICT,134
CSG,67
RAP,221
JAN,143
ITO,141
AVL,22
ABQ,2
TTN,270
GSP,118
JNU,147
LCH,156
AMA,15
SWF,264
HSV,130
FLG,100
APN,17
SGF,245
MRY,186
FAY,98
PSP,218
LIH,161
MSN,187
SCE,241
AZO,24
OTZ,204
COD,61
MHK,176
PIB,211
AGS,11
CMI,60
ORH,203
STT,260
CRW,66
LFT,158
SAF,233
ECP,85
ROC,229
OME,199
GJT,110
GPT,112
ADQ,9
BRD,40
ROA,228
ABE,0
AEX,10
FSM,104
MLI,182
COU,63
PIA,210
SHV,247
BET,26
BPT,37
ISN,139
BFL,27
BRO,41
ROW,230
OAJ,194
GTR,121
PWM,220
BQN,39
FAT,97
PSC,215
FCA,99
RDD,222
DRO,80
MYR,193
SBA,237
MFE,173
ACT,6
MTJ,191
FNT,102
HRL,129
ILM,136
ACV,7
TRI,269
WRG,279
TLH,266
MSO,188
SMX,254
SUX,263
ABY,4
EAU,84
IMT,137
CRP,65
TVC,273
BIL,29
HIB,123
YAK,282
SUN,262
BTV,44
GNV,111
MBS,167
GRI,114
JAC,142
AKN,12
CPR,64
PSG,217
ABR,3
BMI,33
RHI,225
GST,119
CAK,50
LBE,155
TYR,276
MVY,192
ABI,1
BRW,42
KTN,149
ELM,87
GTF,120
LNK,163
SPS,257
HLN,124
PBG,205
ERI,89
GGG,109
IDA,135
AVP,23
MOT,185
SPI,256
RDM,223
HYS,131
PSE,216
TWF,274
LAW,152
ATW,20
CHO,53
MKG,180
PIH,212
SIT,248
LAN,150
BJI,31
SGU,246
DBQ,73
TOL,267
DIK,78
BLI,32
HOB,126
DVL,83
SJT,250
BQK,38
MFR,174
TXK,275
