TAIL_NUMBER,VALUES
N382SW,839
N896AT,3070
N708AS,2309
N760EV,2488
N872AS,3040
N3JYAA,1058
N811DZ,2757
N968DL,3506
N902DE,3091
N4XYAA,1438
N531NK,1585
N3HVAA,1038
N360NW,706
N380SW,833
N626SW,1974
N213UA,381
N297WN,546
N751EV,2443
N929SW,3288
N530MQ,1578
N659JB,2117
N117SY,67
N37700,824
N902EV,3092
N487CA,1369
N444UA,1227
N367NW,732
N913DN,3165
N3JXAA,1057
N556AS,1673
N766SK,2527
N587NK,1778
N324JB,603
N581UW,1755
N929EV,3285
N7738A,2586
N8327A,2866
N345NW,665
N413WN,1137
N3HJAA,1029
N657AW,2106
N150UW,220
N253WN,471
N813SK,2765
N612JB,1911
N925DL,3254
N496CA,1404
N744SW,2421
N593ML,1801
N223WN,409
N186PQ,313
N505AA,1467
N565UW,1708
N3JFAA,1046
N609SW,1901
N570WN,1731
N565AS,1706
N426AA,1169
N625MQ,1968
N867AS,3033
N433LV,1191
N508NK,1486
N855AS,2942
N906AT,3115
N14180,181
N954SW,3438
N619MQ,1945
N874AS,3042
N39475,882
N656AW,2102
N823MQ,2808
N110UW,34
N472WN,1317
N3756,802
N695DL,2257
N833DN,2873
N8635F,2994
N462WN,1283
N545UW,1632
N14974,215
N76514,2515
N171US,282
N14242,193
N758SK,2482
N580UW,1751
N652AW,2086
N266WN,494
N574AA,1737
N649SW,2080
N656JB,2103
N434AA,1194
N527VA,1564
N13161,129
N429UA,1178
N710SK,2322
N254WN,472
N634VA,2018
N772SK,2575
N730SK,2384
N623SW,1960
N445SW,1229
N708EV,2310
N593JB,1800
N514MQ,1500
N7729A,2574
N776SK,2612
N265WN,492
N12145,77
N845UA,2918
N3BNAA,927
N593AS,1799
N530US,1580
N784SW,2648
N913WN,3168
N835DN,2880
N619SW,1947
N647MQ,2072
N830AS,2843
N8641B,3001
N247WN,463
N595JB,1807
N446SW,1232
N823UA,2810
N641CA,2050
N67815,2195
N912EV,3159
N11176,42
N923US,3243
N548US,1642
N914DN,3171
N928EV,3277
N812SK,2761
N8620H,2977
N3LWAA,1092
N257WN,476
N374JB,794
N705SW,2300
N918WN,3204
N954AT,3434
N416WN,1144
N3GFAA,1007
N259WN,479
N659DL,2116
N69804,2264
N237WN,441
N679MQ,2205
N696MQ,2260
N753US,2454
N002AA,1
N553NW,1663
N972AT,3519
N714CB,2339
N864AA,3010
N587UA,1779
N361NW,709
N7814B,2630
N73283,2391
N922US,3235
N903WN,3099
N13718,147
N688MQ,2237
N917DN,3192
N910DE,3147
N369NB,741
N589UA,1789
N472UA,1316
N17169,279
N12172,83
N681MQ,2210
N278WN,516
N692MQ,2249
N3FJAA,991
N477CA,1332
N392SW,874
N773SK,2589
N650SW,2083
N69818,2267
N3LGAA,1082
N210FR,369
N7716A,2558
N613AS,1915
N225WN,413
N221WN,405
N947UW,3397
N3GEAA,1006
N780SK,2625
N904AW,3100
N550UA,1650
N484AA,1357
N608SW,1897
N298WN,548
N951DL,3416
N495CA,1400
N868AS,3035
N14148,174
N836UA,2885
N971SW,3517
N837AW,2887
N915DN,3178
N467WN,1299
N600QX,1855
N831DN,2857
N14203,186
N7745A,2597
N922WN,3236
N461SW,1279
N409AS,1125
N948DL,3399
N477HA,1333
N4XDAA,1422
N3FTAA,997
N8628A,2985
N835AW,2879
N389SW,866
N965UW,3496
N767AS,2530
N925AT,3253
N362NW,716
N778AS,2617
N708SK,2312
N485WN,1363
N202AA,349
N673AE,2182
N860AS,2965
N4YDAA,1442
N4YEAA,1443
N11127,37
N707SA,2306
N8308K,2841
N558WN,1685
N809CA,2748
N3760C,812
N793SK,2686
N866AS,3031
N4XUAA,1434
N962SW,3480
N744P,2419
N241WN,449
N524MQ,1542
N329JB,615
N4YLAA,1446
N586AS,1772
N7714B,2556
N851AA,2932
N515SW,1506
N419UA,1152
N526VA,1559
N390HA,868
N526AS,1553
N7812G,2628
N629VA,1992
N816SK,2778
N3769L,820
N294JB,541
N485HA,1362
N8661A,3022
N16561,254
N194UW,330
N631MQ,1998
N35407,690
N136DL,143
N3HKAA,1030
N176PQ,289
N933EV,3310
N187PQ,317
N11192,48
N918DL,3199
N747SA,2429
N955DN,3443
N16701,258
N119SY,71
N229JB,425
N483HA,1355
N945UW,3384
N216JB,392
N606SK,1884
N639MQ,2040
N486HA,1365
N231WN,430
N500WR,1454
N220WN,404
N502MQ,1458
N69824,2269
N910AT,3145
N952DL,3422
N45440,1254
N76504,2512
N5BVAA,1822
N902MQ,3094
N193JB,328
N504MQ,1465
N489AA,1378
N743SW,2418
N867AA,3032
N832DN,2870
N535US,1603
N375NC,810
N991AT,3562
N122SY,93
N930DN,3291
N481HA,1348
N896SK,3071
N423SW,1161
N922DL,3230
N34282,656
N730EV,2383
N700GS,2284
N841UA,2906
N676AE,2190
N899SK,3076
N713EV,2334
N8656B,3017
N376SW,823
N625SW,1970
N669DN,2155
N409UA,1126
N627VA,1981
N13979,161
N360SW,707
N974DL,3524
N607SK,1890
N781CA,2634
N29906,549
N907MQ,3128
N498UA,1408
N17159,278
N7740A,2590
N589AS,1786
N546AS,1633
N745SK,2422
N14972,214
N8651A,3013
N8604K,2958
N912DE,3156
N499WN,1411
N722EV,2362
N417WN,1147
N521JB,1526
N681DA,2209
N961UW,3477
N747UW,2430
N385DN,854
N468WN,1304
N815AW,2772
N957AT,3453
N38459,848
N611NK,1905
N812DN,2760
N706AS,2302
N861AS,2976
N12122,73
N916DL,3184
N188US,319
N507NK,1481
N3MNAA,1105
N630SK,1996
N12218,90
N7726A,2570
N815SK,2774
N916DN,3185
N785SK,2655
N211FR,377
N898SK,3074
N202FR,350
N14186,182
N77530,2609
N6709,2167
N811UA,2758
N952FR,3424
N660SW,2122
N714US,2340
N529JB,1573
N29717,545
N926DL,3263
N3CTAA,947
N915AT,3175
N723EV,2365
N821MQ,2800
N317AS,583
N21129,372
N366NB,729
N277WN,515
N238JB,442
N600MQ,1854
N768SW,2536
N7739A,2587
N57439,1736
N963DN,3484
N907DL,3125
N604SK,1875
N218FR,398
N471CA,1311
N782SK,2639
N67827,2196
N868AA,3034
N227WN,417
N906MQ,3120
N73406,2397
N214FR,383
N13969,157
N562AS,1693
N960DN,3471
N508MQ,1485
N705JB,2298
N027AA,17
N316US,582
N624AW,1962
N4WPAA,1418
N556NW,1675
N215UA,388
N79521,2692
N942DL,3365
N337JB,642
N6713Y,2174
N655WN,2101
N391DA,870
N712SK,2330
N954FR,3437
N3771K,825
N414WN,1139
N4YFAA,1444
N239JB,444
N439UA,1212
N473AA,1318
N937DN,3336
N793AA,2682
N925FR,3256
N686MQ,2222
N24103,447
N617SW,1936
N17196,281
N442SW,1221
N820UA,2795
N801UA,2717
N551WN,1656
N941DL,3357
N924DL,3246
N639SW,2042
N7719A,2561
N917DE,3190
N941MQ,3360
N967UW,3504
N958WN,3463
N73276,2390
N229WN,426
N3754A,800
N296JB,544
N569AA,1722
N663AW,2131
N947WN,3398
N8630B,2989
N716SW,2347
N203WN,354
N962DL,3478
N420WN,1155
N374DA,792
N588JB,1782
N759EV,2485
N307AS,563
N468CA,1302
N918FR,3200
N547AA,1636
N695MQ,2258
N5DKAA,1832
N279JB,517
N779JB,2621
N271LV,500
N14991,217
N627AS,1976
N524AS,1540
N813DN,2763
N401WN,1109
N3AGAA,904
N14177,180
N882AS,3053
N508JB,1484
N893AT,3064
N582CA,1756
N740SW,2410
N987AT,3554
N275WN,510
N501AA,1455
N68805,2227
N8650F,3012
N357SW,699
N15527,226
N3DGAA,956
N953WN,3433
N980SW,3539
N668MQ,2154
N609AS,1898
N659MQ,2118
N472CA,1315
N549UW,1647
N502NK,1459
N969SW,3510
N3LAAA,1078
N3EYAA,983
N390SW,869
N787AA,2661
N11189,46
N906SW,3121
N109UW,32
N743SK,2417
N251WN,469
N11187,45
N643SW,2061
N8614M,2969
N822MQ,2805
N480HA,1344
N363SW,720
N522VA,1534
N472AA,1313
N908DE,3133
N318NB,590
N550UW,1651
N77258,2567
N610WN,1902
N618AS,1938
N965WN,3497
N721UW,2361
N355NB,695
N621SW,1954
N552JB,1658
N951WN,3421
N14998,219
N13913,155
N935SW,3326
N752AT,2447
N449SW,1241
N905DA,3107
N963WN,3487
N65832,2109
N525VA,1552
N584JB,1765
N611AS,1903
N557WN,1681
N920DE,3214
N3751B,797
N918DH,3198
N773SA,2588
N396SW,890
N900PC,3082
N176UW,290
N28457,525
N620MQ,1948
N766JB,2526
N915US,3181
N552WN,1661
N371SW,748
N779SK,2622
N313US,575
N36207,712
N822AW,2803
N972DL,3520
N942WN,3369
N635SW,2022
N911DE,3154
N786SW,2660
N500MQ,1453
N479HA,1340
N933FR,3311
N551UW,1655
N508AS,1482
N449UA,1242
N11194,50
N131SY,130
N959WN,3469
N3ESAA,979
N931DN,3296
N422WN,1159
N351JB,677
N823DN,2807
N24211,451
N8323C,2862
N3742C,777
N286WN,530
N847AS,2923
N12167,82
N11536,60
N487WN,1372
N916SW,3187
N37470,786
N750SA,2440
N525AS,1547
N3765,816
N625NK,1969
N378NW,829
N486WN,1367
N516JB,1508
N558JB,1683
N703AS,2291
N485AA,1361
N3GLAA,1012
N663SW,2135
N268WN,496
N786AS,2658
N755SA,2466
N763SK,2503
N352NB,683
N78506,2650
N3KVAA,1075
N956DL,3448
N31131,572
N930EV,3292
N492WN,1391
N402AS,1110
N5CDAA,1823
N249WN,466
N72405,2369
N959AT,3464
N562WN,1696
N3DEAA,954
N213FR,380
N905DE,3108
N597AS,1814
N198UW,340
N11206,53
N945DN,3382
N427SW,1173
N34455,661
N530NK,1579
N319AS,592
N355JB,694
N3LVAA,1091
N605QX,1879
N303AS,556
N971AT,3515
N486UA,1366
N506CA,1473
N3HXAA,1040
N492SW,1389
N952DN,3423
N921FR,3226
N641MQ,2052
N16541,251
N809JB,2749
N534UW,1598
N725UW,2375
N622SW,1957
N667GB,2146
N514AA,1498
N631SK,2000
N602XJ,1865
N635MQ,2020
N218WN,399
N616SW,1932
N836AW,2882
N3746H,785
N3EHAA,971
N952WN,3427
N644MQ,2064
N909MQ,3142
N7701B,2540
N637SW,2031
N121DE,86
N3CEAA,937
N519JB,1517
N418UA,1149
N246LV,458
N943WN,3375
N880AS,3051
N566JB,1711
N325US,607
N8664J,3025
